Date,Open,High,Low,Close,Volume,Adj Close
05-10-2015,588.025024,594.450012,581.275024,590.25,299074,482.196777
06-10-2015,592.5,595,574.299988,577.424988,403586,471.719421
07-10-2015,578.950012,584.450012,564.174988,566.575012,407706,462.855804
08-10-2015,570,574.825012,563,566.224976,283918,462.569794
09-10-2015,566.5,586.299988,566.5,583.924988,727298,477.029602
12-10-2015,601.349976,609.5,554.450012,561.25,2542272,458.505554
13-10-2015,553.5,557.400024,543.549988,549.325012,916376,448.763611
14-10-2015,545,557.5,545,548.724976,480008,448.273468
15-10-2015,551,554,544.5,548.5,414802,448.089661
16-10-2015,550,551.599976,545,546.875,290134,455.058533
19-10-2015,550,558.5,550,556.099976,316740,462.73468
20-10-2015,556.5,564.900024,555.799988,562.674988,340046,468.205811
21-10-2015,562.974976,573,562.674988,568.799988,342012,473.30246
23-10-2015,570,576,562.549988,574.275024,298394,477.858276
26-10-2015,575,578.625,571.5,575.700012,216648,479.044037
27-10-2015,575.5,577,572,574.224976,128126,477.81665
28-10-2015,573,580,569.75,575.674988,195024,479.023163
29-10-2015,575,577.5,568,571.349976,135184,475.424347
30-10-2015,571.349976,572,565.25,568.025024,149532,472.657562
02-11-2015,565,567.5,557.150024,565.775024,160650,470.785339
03-11-2015,567,574.5,567,571.5,217568,475.549225
04-11-2015,574,577.799988,566.549988,568.525024,184770,473.073669
05-11-2015,569.5,572.424988,558.525024,561.224976,290764,466.999176
06-11-2015,562.5,571.349976,562.5,569.025024,162332,473.489716
09-11-2015,560,568.825012,557.5,566.974976,183944,471.783905
10-11-2015,567,567,551,553.200012,227256,460.321564
13-11-2015,553.5,553.5,545,550.224976,176286,457.846069
16-11-2015,542.5,546.875,533.549988,540.099976,318022,449.421021
17-11-2015,541,542,526.025024,530.549988,663038,441.474335
18-11-2015,522,522.174988,506.125,509.924988,817628,424.312195
19-11-2015,516,525.875,512.299988,523.650024,601380,435.732819
20-11-2015,525,531,521.325012,526.450012,282128,438.062683
23-11-2015,525.75,530.650024,519.025024,526.75,250472,438.312408
24-11-2015,522.5,525,518.5,520.5,241398,433.111725
26-11-2015,522,529.349976,517.5,526.599976,246762,438.187531
27-11-2015,525,534.825012,523.099976,533.150024,234744,443.637848
30-11-2015,535,549,528,544.224976,300878,452.853394
01-12-2015,544.25,546.525024,536,538.325012,206418,447.944031
02-12-2015,541,541,529.025024,530.099976,200834,441.099915
03-12-2015,531.25,532.625,525,528,354260,439.352478
04-12-2015,526.5,531.799988,520.450012,523.900024,627738,435.940857
07-12-2015,526,529.275024,520.125,522.924988,179544,435.129547
08-12-2015,522.5,531,520.549988,522.474976,185192,434.755127
09-12-2015,522,523.799988,511.75,514.674988,742714,428.264709
10-12-2015,517.549988,525.75,515.224976,523.200012,429594,435.358429
11-12-2015,525.049988,530.450012,523,526.174988,366480,437.833893
14-12-2015,525,536.650024,524.5,534.75,304450,444.969269
15-12-2015,537.5,539.900024,529.075012,538.450012,244454,448.048004
16-12-2015,540,548.900024,540,547.700012,228204,455.744965
17-12-2015,550,555,544,553.474976,478466,460.550354
18-12-2015,549,551.474976,540.049988,542.974976,362608,451.813293
21-12-2015,537.5,552.375,535.450012,551,226296,458.490967
22-12-2015,550,550,540.25,541.799988,203308,450.835571
23-12-2015,544,550,543.5,549,169938,456.826721
24-12-2015,550,551.700012,545.200012,547.924988,89454,455.93222
28-12-2015,546.349976,553.799988,545,550.825012,159150,458.345367
29-12-2015,550.549988,554.825012,548.75,551.875,112406,459.219025
30-12-2015,550,553.174988,541.75,543.025024,182804,451.85495
31-12-2015,544,554.5,544,552.275024,161366,459.55191
01-01-2016,550,554.450012,547.150024,551.575012,108246,458.969452
04-01-2016,551.575012,551.575012,538.75,540.299988,173522,449.587433
05-01-2016,541.5,544,531.5,537.400024,236656,447.174347
06-01-2016,536.5,537.25,529.549988,534.724976,216180,444.948425
07-01-2016,530,533.974976,524.150024,525.625,192644,437.376221
08-01-2016,528,534.25,527.950012,531.325012,168836,442.119263
11-01-2016,530,534.724976,526.25,528.549988,515436,439.81015
12-01-2016,529.5,530.75,515.924988,525.025024,279796,436.876953
13-01-2016,525,545,523.799988,541.174988,492856,450.315491
14-01-2016,534,577.5,527.474976,564.349976,3483380,469.599579
15-01-2016,572.5,581.724976,568.275024,570.099976,491482,474.384186
18-01-2016,569,580.724976,564,565.974976,364782,470.951782
19-01-2016,567.5,579.349976,564.75,569.549988,714206,473.926514
20-01-2016,569.549988,572.5,558.299988,560.825012,421832,466.666382
21-01-2016,564,571.25,561.25,568.25,316252,472.844788
22-01-2016,570,576,565,567.950012,229020,472.595215
25-01-2016,570,573.474976,562.799988,568.825012,165914,473.323303
27-01-2016,574.700012,574.924988,568,569.174988,130296,473.614502
28-01-2016,569,571.25,563.849976,565.674988,103440,470.702087
29-01-2016,567.5,584.849976,566,582.424988,507566,484.639923
01-02-2016,585,589.924988,581.5,585.650024,162792,487.323456
02-02-2016,586,594.125,584,587.400024,318504,488.779663
03-02-2016,585.5,587.5,576.349976,579.075012,118190,481.852386
04-02-2016,582,596.799988,580.875,589.950012,222264,490.90155
05-02-2016,589.5,592.724976,586.049988,587.474976,128474,488.842072
08-02-2016,585,585.900024,571.674988,574.549988,211512,478.087128
